"","NUTS_ID","Kod_GUS","Nazwa","Rok","TFR","ludnosc_ogolem_ogÛ≥em","ludnosc_ogolem_wiek_rozrodczy","ludnosc_ogolem_wiek_produkcyjny","ludnosc_kobiety_ogÛ≥em","ludnosc_kobiety_wiek_rozrodczy","ludnosc_kobiety_wiek_produkcyjny","ludnosc_mezczyzni_ogÛ≥em","ludnosc_mezczyzni_wiek_rozrodczy","ludnosc_mezczyzni_wiek_produkcyjny","bezrobotni_ogÛ≥em","bezrobotni_mÍøczyüni","bezrobotni_kobiety","wynagrodzenia","cena_mieszkan_metr_mediana","cena_mieszkan_metr_srednia","mieszkania_oddane","mieszkania_przecietna_powierzchnia","mieszkania_izby","mieszkania_nowe","rozwody","rozwody_na_10_tys","separacje","separacje_na_10_tys","swiadczenia_500_plus","swiadczenia_spoleczne","wspolczynnik_feminizacji","zlobki","malzenstwa_zawarte","ludnosc_na_1km2","gestosc_zaludnienia_pow_zabudowana","zmiana_liczby_ludnosci","ludnosc_tys","ludnosc_tys_mezczyzni","ludnosc_tys_kobiety","praca_ogolem_ogÛ≥em","praca_ogolem_mÍøczyüni","praca_ogolem_kobiety","praca_rolnictwo_ogÛ≥em","praca_rolnictwo_mÍøczyüni","praca_rolnictwo_kobiety","praca_przemysl_na_10_tys_ogÛ≥em","praca_przemysl_na_10_tys_mÍøczyüni","praca_przemysl_na_10_tys_kobiety","praca_handel_ogÛ≥em","praca_handel_mÍøczyüni","praca_handel_kobiety","praca_finanse_ogÛ≥em","praca_finanse_mÍøczyüni","praca_finanse_kobiety","praca_pozostale_na_10_tys_ogÛ≥em","praca_pozostale_na_10_tys_mÍøczyüni","praca_pozostale_na_10_tys_kobiety","zgony_kobiety","zgony_mezczyzni","zgony_ogolem","dochody_ogolem","dochody_wlasne","dochody_podatki","dochody_podatki_osoby_fizyczne","dochody_podatki_osoby_prawne","dochody_podatki_pozostale","swiadczenia_ogolem"
"680","PL922","071422500000","PODREGION CIECHANOWSKI",2021,1.479,327779,149586,191478,166586,71757,92779,161193,77829,98699,12515,5969,6546,5147.09,3996,3987,5.9,89.7,3.9,2.7,527,16,4,0.12,363052042,122076,103,67,4.5,62,NA,-8.3,327.78,161.19,166.59,87202,43350,43852,28065,16414,11651,22909,14567,8342,12827,6595,6232,1434,463,971,21967,5311,16656,2369,2567,4936,6486.57,2536.97,NA,950.65,62.72,741,363174118
"681","PL924","071422600000","PODREGION OSTRO£ CKI",2012,1.456,390559,196391,251648,196536,94276,121502,194023,102115,130146,28248,14247,14001,3321.92,2782,2800,2.4,139.4,5.6,2.1,501,12.8,29,0.74,NA,115319,101,NA,5.6,60,1792,-1.7,390.56,194.02,196.54,106081,54720,51361,49831,27293,22538,20193,14582,5611,12975,7387,5588,1704,334,1370,21378,5124,16254,1659,2226,3885,3417.4,1316.14,NA,440.59,21.96,446.79,NA
"682","PL924","071422600000","PODREGION OSTRO£ CKI",2013,1.397,389743,194696,249691,196136,93435,120553,193607,101261,129138,28304,14518,13786,3400.61,3572,3426,3.3,123.9,5.1,2.5,501,12.8,27,0.69,NA,111121,101,NA,5.1,60,1750,-2.1,389.74,193.61,196.14,108817,55943,52874,49886,27302,22584,20933,14982,5951,14050,8021,6029,1630,323,1307,22318,5315,17003,1675,2068,3743,3308.76,1294.05,NA,473.19,18.83,461.66,NA
"683","PL924","071422600000","PODREGION OSTRO£ CKI",2014,1.412,389068,193105,247784,195754,92643,119585,193314,100462,128199,24466,12368,12098,3543.29,3058,3176,2.7,128.6,5.2,2.2,565,14.5,21,0.54,NA,101087,101,20,5.5,60,1729,-1.7,389.07,193.31,195.75,109923,56429,53494,49857,27309,22548,21477,15183,6294,14517,8263,6254,1800,397,1403,22272,5277,16995,1682,2018,3700,3540.87,1414.46,NA,513.21,20.47,487.42,NA
"684","PL924","071422600000","PODREGION OSTRO£ CKI",2015,1.435,388078,191343,244935,195259,91693,118095,192819,99650,126840,21272,10773,10499,3586.7,3132,3105,3.1,118.2,5.1,2.2,556,14.3,10,0.26,NA,108596,101,29,5.7,60,NA,-2.5,388.08,192.82,195.26,110538,56352,54186,50019,27351,22668,21895,15183,6712,14418,8153,6265,1816,430,1386,22390,5235,17155,1789,2198,3987,3726.39,1495.6,NA,553.32,35.69,509.88,NA
"685","PL924","071422600000","PODREGION OSTRO£ CKI",2016,1.442,387523,189719,242263,194932,90859,116821,192591,98860,125442,19583,9728,9855,3733.47,3580,3470,3,124.6,5.1,2.3,566,14.6,15,0.39,NA,132242,101,36,5.3,60,NA,-1.4,387.52,192.59,194.93,112800,57673,55127,49989,27401,22588,22694,15668,7026,15347,8773,6574,1900,436,1464,22870,5395,17475,1772,2088,3860,4289.06,1577.21,NA,590.56,30.66,541.62,NA
"686","PL924","071422600000","PODREGION OSTRO£ CKI",2017,1.619,386927,187943,239213,194693,90039,115399,192234,97904,123814,16460,7942,8518,3952.04,3501,3412,3,129.9,5.2,2.4,517,13.4,22,0.57,305783960,137296,101,34,5.2,59,NA,-1.5,386.93,192.23,194.69,114132,58225,55907,50014,27415,22599,22764,15837,6927,16158,9098,7060,1788,402,1386,23408,5473,17935,1841,2251,4092,4655.4,1673.87,NA,640.03,29.89,552.14,305921256
"687","PL924","071422600000","PODREGION OSTRO£ CKI",2018,1.562,385915,185760,235988,194272,89058,113852,191643,96702,122136,14475,6709,7766,4175.95,3117,3186,2.5,134.6,5.3,2.1,599,15.5,21,0.54,292013803,136467,101,43,5.2,59,NA,-2.6,385.92,191.64,194.27,114793,58729,56064,49724,27288,22436,23295,16081,7214,16401,9289,7112,1668,342,1326,23705,5729,17976,1863,2201,4064,5015.84,1845.81,NA,738.8,47.96,589.56,292150270
"688","PL924","071422600000","PODREGION OSTRO£ CKI",2019,1.51,384660,183568,232838,193593,88005,112327,191067,95563,120511,13076,6160,6916,4444.58,3585,3591,4.5,103.6,4.3,2.5,523,13.6,8,0.21,356662729,136217,101,51,4.7,59,NA,-3.3,384.66,191.07,193.59,117191,59801,57390,49710,27299,22411,23711,16296,7415,17855,10204,7651,1870,411,1459,24045,5591,18454,1917,2167,4084,5524.05,2084.23,NA,821.58,35.15,609.34,356798946
"689","PL924","071422600000","PODREGION OSTRO£ CKI",2020,1.592,374745,172872,220909,188799,82634,106427,185946,90238,114482,15047,7256,7791,4809.06,3922,3937,3.9,118.6,4.8,2.8,507,13.5,5,0.13,430286940,141025,102,59,4.1,58,NA,-25.8,374.75,185.95,188.8,92209,47667,44542,25343,15109,10234,23766,16313,7453,17654,10211,7443,1827,419,1408,23619,5615,18004,2263,2693,4956,6206.39,2380.59,NA,824.27,32.46,648.81,430427965
"690","PL924","071422600000","PODREGION OSTRO£ CKI",2021,1.527,372268,171087,218394,187753,81846,105332,184515,89241,113062,13004,6280,6724,5218.29,4138,4330,5,115,4.7,3.3,585,15.7,4,0.11,427407139,142544,102,81,4.6,57,NA,-6.6,372.27,184.52,187.75,93429,48165,45264,25346,15110,10236,23740,16127,7613,18548,10865,7683,1786,395,1391,24009,5668,18341,2411,2911,5322,6656.44,2339.85,NA,940.92,54.17,687.9,427549683
